id,:@computed_region_cbhk_fwbd,name,:@computed_region_nnqa_25f4,fall,geolocation_coordinates_1,geolocation_coordinates_2,geolocation_type,mass,nametype,recclass,reclat,reclong,year
1,,Aachen,,Fell,6.08333,50.775,Point,21,Valid,L5,50.775000,6.083330,1880-01-01T00:00:00.000
2,,Aarhus,,Fell,10.23333,56.18333,Point,720,Valid,H6,56.183330,10.233330,1951-01-01T00:00:00.000
6,,Abee,,Fell,-113.0,54.21667,Point,107000,Valid,EH4,54.216670,-113.000000,1952-01-01T00:00:00.000
10,,Acapulco,,Fell,-99.9,16.88333,Point,1914,Valid,Acapulcoite,16.883330,-99.900000,1976-01-01T00:00:00.000
370,,Achiras,,Fell,-64.95,-33.16667,Point,780,Valid,L6,-33.166670,-64.950000,1902-01-01T00:00:00.000
379,,Adhi Kot,,Fell,71.8,32.1,Point,4239,Valid,EH4,32.100000,71.800000,1919-01-01T00:00:00.000
390,,Adzhi-Bogdo (stone),,Fell,95.16667,44.83333,Point,910,Valid,LL3-6,44.833330,95.166670,1949-01-01T00:00:00.000
392,,Agen,,Fell,0.61667,44.21667,Point,30000,Valid,H5,44.216670,0.616670,1814-01-01T00:00:00.000
398,,Aguada,,Fell,-65.23333,-31.6,Point,1620,Valid,L6,-31.600000,-65.233330,1930-01-01T00:00:00.000
417,,Aguila Blanca,,Fell,-64.55,-30.86667,Point,1440,Valid,L,-30.866670,-64.550000,1920-01-01T00:00:00.000
423,,Aioun el Atrouss,,Fell,-9.57028,16.39806,Point,1000,Valid,Diogenite-pm,16.398060,-9.570280,1974-01-01T00:00:00.000
424,,Aïr,,Fell,8.38333,19.08333,Point,24000,Valid,L6,19.083330,8.383330,1925-01-01T00:00:00.000
425,,Aire-sur-la-Lys,,Fell,2.33333,50.66667,Point,,Valid,Unknown,50.666670,2.333330,1769-01-01T00:00:00.000
426,,Akaba,,Fell,35.05,29.51667,Point,779,Valid,L6,29.516670,35.050000,1949-01-01T00:00:00.000
427,,Akbarpur,,Fell,77.95,29.71667,Point,1800,Valid,H4,29.716670,77.950000,1838-01-01T00:00:00.000
432,,Akwanga,,Fell,8.43333,8.91667,Point,3000,Valid,H,8.916670,8.433330,1959-01-01T00:00:00.000
433,,Akyumak,,Fell,42.81667,39.91667,Point,50000,Valid,"Iron, IVA",39.916670,42.816670,1981-01-01T00:00:00.000
446,,Al Rais,,Fell,39.51667,24.41667,Point,160,Valid,CR2-an,24.416670,39.516670,1957-01-01T00:00:00.000
447,,Al Zarnkh,,Fell,28.96,13.66033,Point,700,Valid,LL5,13.660330,28.960000,2001-01-01T00:00:00.000
448,,Alais,,Fell,4.08333,44.11667,Point,6000,Valid,CI1,44.116670,4.083330,1806-01-01T00:00:00.000
453,,Albareto,,Fell,11.01667,44.65,Point,2000,Valid,L/LL4,44.650000,11.016670,1766-01-01T00:00:00.000
454,,Alberta,,Fell,22.66667,2.0,Point,625,Valid,L,2.000000,22.666670,1949-01-01T00:00:00.000
458,,Alby sur Chéran,,Fell,6.01533,45.82133,Point,252,Valid,Eucrite-mmict,45.821330,6.015330,2002-01-01T00:00:00.000
461,,Aldsworth,,Fell,-1.78333,51.78333,Point,700,Valid,LL5,51.783330,-1.783330,1835-01-01T00:00:00.000
462,,Aleppo,,Fell,37.13333,36.23333,Point,3200,Valid,L6,36.233330,37.133330,1873-01-01T00:00:00.000
463,,Alessandria,,Fell,8.75,44.88333,Point,908,Valid,H5,44.883330,8.750000,1860-01-01T00:00:00.000
465,,Alexandrovsky,,Fell,31.81667,50.95,Point,9251,Valid,H4,50.950000,31.816670,1900-01-01T00:00:00.000
466,,Alfianello,,Fell,10.15,45.26667,Point,228000,Valid,L6,45.266670,10.150000,1883-01-01T00:00:00.000
2276,50,Allegan,429,Fell,-85.88333,42.53333,Point,32000,Valid,H5,42.533330,-85.883330,1899-01-01T00:00:00.000
2278,,Allende,,Fell,-105.31667,26.96667,Point,2000000,Valid,CV3,26.966670,-105.316670,1969-01-01T00:00:00.000
48915,,Almahata Sitta,,Fell,32.41275,20.74575,Point,3950,Valid,Ureilite-an,20.745750,32.412750,2008-01-01T00:00:00.000
2284,,Alta'ameem,,Fell,44.21556,35.27333,Point,6000,Valid,LL5,35.273330,44.215560,1977-01-01T00:00:00.000
2290,,Ambapur Nagla,,Fell,78.25,27.66667,Point,6400,Valid,H5,27.666670,78.250000,1895-01-01T00:00:00.000
2294,,Andhara,,Fell,85.56667,26.58333,Point,2700,Valid,Stone-uncl,26.583330,85.566670,1880-01-01T00:00:00.000
2295,49,Andover,1723,Fell,-70.75,44.61667,Point,3200,Valid,L6,44.616670,-70.750000,1898-01-01T00:00:00.000
2296,,Andreevka,,Fell,37.5,48.7,Point,600,Valid,L3,48.700000,37.500000,1969-01-01T00:00:00.000
2298,,Andura,,Fell,76.86667,20.88333,Point,17900,Valid,H6,20.883330,76.866670,1939-01-01T00:00:00.000
50693,,Northwest Africa 5815,,Found,0.0,0.0,Point,256.8,Valid,L5,0.000000,0.000000,
2301,,Angers,,Fell,-0.55,47.46667,Point,,Valid,L6,47.466670,-0.550000,1822-01-01T00:00:00.000
2302,,Angra dos Reis (stone),,Fell,-44.31667,-22.96667,Point,1500,Valid,Angrite,-22.966670,-44.316670,1869-01-01T00:00:00.000
2304,,Ankober,,Fell,39.71667,9.53333,Point,6500,Valid,H4,9.533330,39.716670,1942-01-01T00:00:00.000
2305,,Anlong,,Fell,105.18333,25.15,Point,2500,Valid,H5,25.150000,105.183330,1971-01-01T00:00:00.000
2313,,Aomori,,Fell,140.78556,40.81056,Point,320,Valid,L6,40.810560,140.785560,1984-01-01T00:00:00.000
2318,,Appley Bridge,,Fell,-2.71667,53.58333,Point,15000,Valid,LL6,53.583330,-2.716670,1914-01-01T00:00:00.000
2320,,Apt,,Fell,5.38333,43.86667,Point,3200,Valid,L6,43.866670,5.383330,1803-01-01T00:00:00.000
2325,,Arbol Solo,,Fell,-66.0,-33.0,Point,810,Valid,H5,-33.000000,-66.000000,1954-01-01T00:00:00.000
2329,18,Archie,2697,Fell,-94.3,38.5,Point,5070,Valid,H6,38.500000,-94.300000,1932-01-01T00:00:00.000
2340,,Arroyo Aguiar,,Fell,-60.66667,-31.41667,Point,7450,Valid,H5,-31.416670,-60.666670,1950-01-01T00:00:00.000
2345,,Asco,,Fell,9.03333,42.45,Point,41,Valid,H6,42.450000,9.033330,1805-01-01T00:00:00.000
48954,23,Ash Creek,774,Fell,-97.01,31.805,Point,9500,Valid,L6,31.805000,-97.010000,2009-01-01T00:00:00.000
2346,,Ashdon,,Fell,0.3,52.05,Point,1300,Valid,L6,52.050000,0.300000,1923-01-01T00:00:00.000
2353,,Assisi,,Fell,12.55,43.03333,Point,2000,Valid,H5,43.033330,12.550000,1886-01-01T00:00:00.000
4883,,Atarra,,Fell,80.625,25.25417,Point,1280,Valid,L4,25.254170,80.625000,1920-01-01T00:00:00.000
4884,,Atemajac,,Fell,-103.66667,20.06667,Point,94.2,Valid,L6,20.066670,-103.666670,1896-01-01T00:00:00.000
4885,29,Athens,3134,Fell,-87.0,34.75,Point,265,Valid,LL6,34.750000,-87.000000,1933-01-01T00:00:00.000
4888,20,Atoka,602,Fell,-96.15,34.31667,Point,1384.2,Valid,L6,34.316670,-96.150000,1945-01-01T00:00:00.000
4893,,Aubres,,Fell,5.16667,44.38333,Point,800,Valid,Aubrite,44.383330,5.166670,1836-01-01T00:00:00.000
4899,,Aumale,,Fell,3.66667,36.16667,Point,50000,Valid,L6,36.166670,3.666670,1865-01-01T00:00:00.000
4900,,Aumieres,,Fell,3.23333,44.33333,Point,2000,Valid,L6,44.333330,3.233330,1842-01-01T00:00:00.000
4903,,Ausson,,Fell,0.58333,43.08333,Point,50000,Valid,L5,43.083330,0.583330,1858-01-01T00:00:00.000
4905,,Avanhandava,,Fell,-49.95083,-21.46028,Point,9330,Valid,H4,-21.460280,-49.950830,1952-01-01T00:00:00.000
4906,,Avce,,Fell,13.5,46.0,Point,1230,Valid,"Iron, IIAB",46.000000,13.500000,1908-01-01T00:00:00.000
4907,,Avilez,,Fell,-103.5,25.0,Point,146,Valid,H,25.000000,-103.500000,1855-01-01T00:00:00.000
4910,,Awere,,Fell,32.83333,2.71667,Point,134,Valid,L4,2.716670,32.833330,1968-01-01T00:00:00.000
4913,11,Aztec,1989,Fell,-108.0,36.8,Point,2830,Valid,L6,36.800000,-108.000000,1938-01-01T00:00:00.000
4917,,Bachmut,,Fell,38.0,48.6,Point,18000,Valid,L6,48.600000,38.000000,1814-01-01T00:00:00.000
4922,,Bahjoi,,Fell,78.5,28.48333,Point,10322,Valid,"Iron, IAB-sLL",28.483330,78.500000,1934-01-01T00:00:00.000
4925,37,Bald Mountain,2373,Fell,-82.48333,35.96667,Point,3700,Valid,L4,35.966670,-82.483330,1929-01-01T00:00:00.000
4926,32,Baldwyn,495,Fell,-88.66667,34.5,Point,345,Valid,L6,34.500000,-88.666670,1922-01-01T00:00:00.000
4928,,Bali,,Fell,16.38333,5.38333,Point,1000,Valid,CV3,5.383330,16.383330,1907-01-01T00:00:00.000
4934,,Ban Rong Du,,Fell,101.18333,16.66667,Point,16700,Valid,"Iron, ungrouped",16.666670,101.183330,1993-01-01T00:00:00.000
4935,,Bandong,,Fell,107.6,-6.91667,Point,11500,Valid,LL6,-6.916670,107.600000,1871-01-01T00:00:00.000
4936,,Bansur,,Fell,76.33333,27.7,Point,15000,Valid,L6,27.700000,76.333330,1892-01-01T00:00:00.000
4937,,Banswal,,Fell,78.2,30.4,Point,14,Valid,L5,30.400000,78.200000,1913-01-01T00:00:00.000
4938,,Banten,,Fell,106.0,-6.33333,Point,629,Valid,CM2,-6.333330,106.000000,1933-01-01T00:00:00.000
4942,,Barbotan,,Fell,-0.05,43.95,Point,6400,Valid,H5,43.950000,-0.050000,1790-01-01T00:00:00.000
4944,,Barcelona (stone),,Fell,2.16667,41.36667,Point,,Valid,OC,41.366670,2.166670,1704-01-01T00:00:00.000
4946,,Barea,,Fell,-2.5,42.38333,Point,3200,Valid,Mesosiderite-A1,42.383330,-2.500000,1842-01-01T00:00:00.000
4947,,Barnaul,,Fell,84.08333,52.73333,Point,23.2,Valid,H5,52.733330,84.083330,1904-01-01T00:00:00.000
4948,,Barntrup,,Fell,9.1,52.0,Point,17,Valid,LL4,52.000000,9.100000,1886-01-01T00:00:00.000
4949,,Baroti,,Fell,76.8,31.61667,Point,4500,Valid,L6,31.616670,76.800000,1910-01-01T00:00:00.000
4954,,Barwell,,Fell,-1.33972,52.56528,Point,44000,Valid,L5,52.565280,-1.339720,1965-01-01T00:00:00.000
44876,,Bassikounou,,Fell,-5.9,15.78333,Point,29560,Valid,H5,15.783330,-5.900000,2006-01-01T00:00:00.000
4957,,Baszkówka,,Fell,20.93583,52.03333,Point,15500,Valid,L5,52.033330,20.935830,1994-01-01T00:00:00.000
4974,21,Bath,662,Fell,-98.31667,45.41667,Point,21000,Valid,H4,45.416670,-98.316670,1892-01-01T00:00:00.000
4975,36,Bath Furnace,1921,Fell,-83.75,38.25,Point,86000,Valid,L6,38.250000,-83.750000,1902-01-01T00:00:00.000
56133,10,Battle Mountain,2397,Fell,-117.18913,40.66813,Point,2900,Valid,L6,40.668130,-117.189130,2012-01-01T00:00:00.000
4976,,Bawku,,Fell,-0.18333,11.08333,Point,1557,Valid,LL5,11.083330,-0.183330,1989-01-01T00:00:00.000
4977,18,Baxter,2216,Fell,-93.5,36.75,Point,611,Valid,L6,36.750000,-93.500000,1916-01-01T00:00:00.000
4984,17,Beardsley,1285,Fell,-101.2,39.8,Point,16000,Valid,H5,39.800000,-101.200000,1929-01-01T00:00:00.000
4986,,Beaver Creek,,Fell,-117.33333,51.16667,Point,14000,Valid,H5,51.166670,-117.333330,1893-01-01T00:00:00.000
4993,,Beddgelert,,Fell,-4.1,53.01667,Point,794,Valid,H5,53.016670,-4.100000,1949-01-01T00:00:00.000
5005,23,Bells,1978,Fell,-96.46667,33.6,Point,375,Valid,C2-ung,33.600000,-96.466670,1961-01-01T00:00:00.000
5009,,Belville,,Fell,-64.86667,-32.33333,Point,,Valid,OC,-32.333330,-64.866670,1937-01-01T00:00:00.000
5011,,Benares (a),,Fell,82.91667,25.36667,Point,3700,Valid,LL4,25.366670,82.916670,1798-01-01T00:00:00.000
30443,,Benguerir,,Fell,-8.15,32.25,Point,25000,Valid,LL6,32.250000,-8.150000,2004-01-01T00:00:00.000
5018,,Beni M'hira,,Fell,10.8,32.86667,Point,19000,Valid,L6,32.866670,10.800000,2001-01-01T00:00:00.000
5021,34,Benld,1869,Fell,-89.15,39.08333,Point,1770.5,Valid,H6,39.083330,-89.150000,1938-01-01T00:00:00.000
5023,,Benoni,,Fell,28.41667,-26.16667,Point,3880,Valid,H6,-26.166670,28.416670,1943-01-01T00:00:00.000
5024,,Bensour,,Fell,-7.0,30.0,Point,45000,Valid,LL6,30.000000,-7.000000,2002-01-01T00:00:00.000
5026,,Benton,,Fell,-67.55,45.95,Point,2840,Valid,LL6,45.950000,-67.550000,1949-01-01T00:00:00.000
48975,,Berduc,,Fell,-58.32833,-31.91,Point,270,Valid,L6,-31.910000,-58.328330,2008-01-01T00:00:00.000
5028,,Béréba,,Fell,-3.65,11.65,Point,18000,Valid,Eucrite-mmict,11.650000,-3.650000,1924-01-01T00:00:00.000
5029,,Berlanguillas,,Fell,-3.8,41.68333,Point,1440,Valid,L6,41.683330,-3.800000,1811-01-01T00:00:00.000
47355,9,Berthoud,1072,Fell,-105.02325,40.30583,Point,960,Valid,Eucrite-mmict,40.305830,-105.023250,2004-01-01T00:00:00.000
5032,47,Bethlehem,2030,Fell,-73.83333,42.53333,Point,13.9,Valid,H,42.533330,-73.833330,1859-01-01T00:00:00.000
5034,,Beuste,,Fell,-0.23333,43.21667,Point,2000,Valid,L5,43.216670,-0.233330,1859-01-01T00:00:00.000
5035,,Beyrout,,Fell,35.5,33.88333,Point,1100,Valid,LL3.8,33.883330,35.500000,1921-01-01T00:00:00.000
5037,,Bhagur,,Fell,74.83333,20.88333,Point,18,Valid,L6,20.883330,74.833330,1877-01-01T00:00:00.000
36591,,Bhawad,,Fell,73.11528,26.50833,Point,678,Valid,LL6,26.508330,73.115280,2002-01-01T00:00:00.000
5039,,Bherai,,Fell,71.46667,20.83333,Point,100,Valid,L6,20.833330,71.466670,1893-01-01T00:00:00.000
5040,,Bhola,,Fell,90.65,22.68333,Point,1047,Valid,LL3-6,22.683330,90.650000,1940-01-01T00:00:00.000
5041,,Bholghati,,Fell,86.9,22.08333,Point,2500,Valid,Howardite,22.083330,86.900000,1905-01-01T00:00:00.000
5042,,Bialystok,,Fell,23.2,53.1,Point,4000,Valid,Eucrite-pmict,53.100000,23.200000,1827-01-01T00:00:00.000
5043,,Bielokrynitschie,,Fell,27.16667,50.13333,Point,1900,Valid,H4,50.133330,27.166670,1887-01-01T00:00:00.000
5045,,Bilanga,,Fell,-0.08333,12.45,Point,25000,Valid,Diogenite,12.450000,-0.083330,1999-01-01T00:00:00.000
5051,,Binningup,,Fell,115.67639,-33.15639,Point,488.1,Valid,H5,-33.156390,115.676390,1984-01-01T00:00:00.000
5056,,Birni N'konni,,Fell,5.3,13.76667,Point,560,Valid,H4,13.766670,5.300000,1923-01-01T00:00:00.000
5059,33,Bishopville,657,Fell,-80.28333,34.16667,Point,6000,Valid,Aubrite,34.166670,-80.283330,1843-01-01T00:00:00.000
5060,,Bishunpur,,Fell,82.6,25.38333,Point,1039,Valid,LL3.15,25.383330,82.600000,1895-01-01T00:00:00.000
5063,,Bjelaja Zerkov,,Fell,30.16667,49.78333,Point,1850,Valid,H6,49.783330,30.166670,1796-01-01T00:00:00.000
5064,,Bjurböle,,Fell,25.8,60.4,Point,330000,Valid,L/LL4,60.400000,25.800000,1899-01-01T00:00:00.000
5065,48,Black Moshannan Park,2495,Fell,-78.08333,40.91667,Point,705,Valid,L5,40.916670,-78.083330,1941-01-01T00:00:00.000
5068,20,Blackwell,2164,Fell,-97.33333,36.83333,Point,2381,Valid,L5,36.833330,-97.333330,1906-01-01T00:00:00.000
5071,23,Blanket,3063,Fell,-98.83333,31.83333,Point,5100,Valid,L6,31.833330,-98.833330,1909-01-01T00:00:00.000
5072,,Blansko,,Fell,16.63333,49.36667,Point,470,Valid,H6,49.366670,16.633330,1833-01-01T00:00:00.000
5076,34,Bloomington,1795,Fell,-89.00417,40.48,Point,67.8,Valid,LL6,40.480000,-89.004170,1938-01-01T00:00:00.000
5090,,Bo Xian,,Fell,115.83333,33.83333,Point,7500,Valid,LL3.9,33.833330,115.833330,1977-01-01T00:00:00.000
5093,,Bocas,,Fell,-102.0,23.0,Point,56,Valid,L6,23.000000,-102.000000,1804-01-01T00:00:00.000
5097,,Bogou,,Fell,0.7,12.5,Point,8800,Valid,"Iron, IAB-MG",12.500000,0.700000,1962-01-01T00:00:00.000
5098,,Boguslavka,,Fell,131.63333,44.55,Point,256000,Valid,"Iron, IIAB",44.550000,131.633330,1916-01-01T00:00:00.000
5110,,Borgo San Donino,,Fell,10.05,44.86667,Point,1676,Valid,LL6,44.866670,10.050000,1808-01-01T00:00:00.000
5111,,Bori,,Fell,78.03333,21.95,Point,8600,Valid,L6,21.950000,78.033330,1894-01-01T00:00:00.000
5112,,Boriskino,,Fell,52.48333,54.23333,Point,1342,Valid,CM2,54.233330,52.483330,1930-01-01T00:00:00.000
5113,,Borkut,,Fell,24.28333,48.15,Point,7000,Valid,L5,48.150000,24.283330,1852-01-01T00:00:00.000
5114,,Borodino,,Fell,35.86667,55.46667,Point,500,Valid,H5,55.466670,35.866670,1812-01-01T00:00:00.000
5117,,Botschetschki,,Fell,33.88333,51.33333,Point,614,Valid,L4,51.333330,33.883330,1823-01-01T00:00:00.000
57168,,Boumdeid (2003),,Fell,-11.3715,17.71067,Point,190,Valid,L6,17.710670,-11.371500,2003-01-01T00:00:00.000
57167,,Boumdeid (2011),,Fell,-11.34133,17.17493,Point,3599,Valid,L6,17.174930,-11.341330,2011-01-01T00:00:00.000
5121,,Bovedy,,Fell,-6.33333,54.56667,Point,5460,Valid,L3,54.566670,-6.333330,1969-01-01T00:00:00.000
